time,distance
1523035591.774391,100.743000
1523035591.784551,100.716000
1523035591.840909,100.658000
1523035591.851086,100.670000
1523035591.861590,100.607000
1523035591.918697,100.611000
1523035591.928905,100.567000
1523035591.986425,100.546000
1523035591.996674,100.519000
1523035592.006912,100.501000
1523035592.063178,100.484000
1523035592.073964,100.438000
1523035592.130721,100.429000
1523035592.140858,100.398000
1523035592.198566,100.386000
1523035592.208718,100.369000
1523035592.219003,100.334000
1523035592.275108,100.320000
1523035592.285379,100.274000
1523035592.342875,100.265000
1523035592.353040,100.230000
1523035592.409381,100.182000
1523035592.419652,100.171000
1523035592.429874,100.101000
1523035592.487178,100.126000
1523035592.497304,100.070000
1523035592.555552,100.074000
1523035592.565622,100.040000
1523035592.624372,99.994000
1523035592.634387,99.992000
1523035592.644627,99.959000
1523035592.704286,99.942000
1523035592.713992,99.915000
1523035592.774469,99.882000
1523035592.784234,99.897000
1523035592.794018,99.827000
1523035592.854187,99.834000
1523035592.863859,99.801000
1523035592.924331,99.767000
1523035592.934039,99.772000
1523035592.944288,99.716000
1523035593.002685,99.704000
1523035593.012342,99.665000
1523035593.072896,99.660000
1523035593.082650,99.648000
1523035593.092443,99.617000
1523035593.152543,99.598000
1523035593.162188,99.579000
1523035593.222788,99.561000
1523035593.232464,99.535000
1523035593.242847,99.521000
1523035593.302397,99.498000
1523035593.312145,99.436000
1523035593.371249,99.430000
1523035593.380988,99.405000
1523035593.390829,99.338000
1523035593.450965,99.375000
1523035593.460626,99.298000
1523035593.521122,99.277000
1523035593.530800,99.265000
1523035593.541194,99.200000
1523035593.600682,99.252000
1523035593.610389,99.147000
1523035593.670848,99.129000
1523035593.680556,99.105000
1523035593.690320,99.076000
1523035593.749333,99.054000
1523035593.759013,99.028000
1523035593.819531,99.010000
1523035593.830132,98.955000
1523035593.841168,98.950000
1523035593.900046,98.949000
1523035593.913255,98.884000
1523035593.969218,98.892000
1523035593.978882,98.833000
1523035593.988764,98.789000
1523035594.049241,98.826000
1523035594.059042,98.769000
1523035594.117900,98.739000
1523035594.127566,98.733000
1523035594.187917,98.707000
1523035594.197643,98.676000
1523035594.207960,98.645000
1523035594.267620,98.654000
1523035594.277342,98.605000
1523035594.337836,98.569000
1523035594.347615,98.576000
1523035594.357424,98.526000
1523035594.417450,98.525000
1523035594.427135,98.501000
1523035594.486371,98.466000
1523035594.496093,98.445000
1523035594.506455,98.402000
1523035594.566084,98.402000
1523035594.575865,98.335000
1523035594.636292,98.295000
1523035594.646075,98.297000
1523035594.655885,98.258000
1523035594.715874,98.247000
1523035594.725558,98.195000
1523035594.786005,98.166000
1523035594.795685,98.158000
1523035594.805578,98.097000
1523035594.864456,98.114000
1523035594.874194,98.076000
1523035594.934618,98.046000
1523035594.944330,98.033000
1523035594.954640,97.969000
1523035595.014164,97.967000
1523035595.023932,97.902000
1523035595.084410,97.893000
1523035595.094198,97.875000
1523035595.104020,97.854000
1523035595.164131,97.848000
1523035595.173823,97.785000
1523035595.232939,97.759000
1523035595.242633,97.724000
1523035595.252538,97.713000
1523035595.312809,97.698000
1523035595.322459,97.674000
1523035595.382806,97.660000
1523035595.392468,97.639000
1523035595.402833,97.606000
1523035595.462418,97.601000
1523035595.472175,97.560000
1523035595.532588,97.547000
1523035595.542301,97.526000
1523035595.552132,97.485000
1523035595.611032,97.480000
1523035595.620693,97.437000
1523035595.681201,97.413000
1523035595.690868,97.368000
1523035595.701259,97.346000
1523035595.760967,97.349000
1523035595.771212,97.265000
1523035595.831043,97.281000
1523035595.840915,97.275000
1523035595.850766,97.205000
1523035595.910934,97.217000
1523035595.920633,97.161000
1523035595.979559,97.138000
1523035595.989304,97.093000
1523035596.049657,97.073000
1523035596.059364,97.080000
1523035596.069669,97.038000
1523035596.129342,97.033000
1523035596.139091,97.002000
1523035596.199605,96.964000
1523035596.209384,96.945000
1523035596.219217,96.900000
1523035596.279226,96.896000
1523035596.288885,96.859000
1523035596.348062,96.820000
1523035596.357767,96.791000
1523035596.368151,96.747000
1523035596.427762,96.736000
1523035596.437428,96.709000
1523035596.497940,96.684000
1523035596.507745,96.656000
1523035596.517418,96.634000
1523035596.577569,96.610000
1523035596.587212,96.585000
1523035596.647700,96.561000
1523035596.657372,96.546000
1523035596.667346,96.524000
1523035596.726147,96.510000
1523035596.735865,96.475000
1523035596.796355,96.445000
1523035596.806610,96.422000
1523035596.817612,96.374000
1523035596.876167,96.389000
1523035596.885851,96.363000
1523035596.946133,96.276000
1523035596.955800,96.286000
1523035596.966243,96.241000
1523035597.025769,96.251000
1523035597.035446,96.174000
1523035597.094828,96.176000
1523035597.104561,96.161000
1523035597.114267,96.136000
1523035597.174353,96.107000
1523035597.184054,96.075000
1523035597.244543,96.048000
1523035597.254175,96.024000
1523035597.264591,95.986000
1523035597.324135,95.990000
1523035597.333906,95.914000
1523035597.394282,95.889000
1523035597.404044,95.864000
1523035597.413874,95.789000
1523035597.472699,95.790000
1523035597.482345,95.765000
1523035597.542933,95.750000
1523035597.553149,95.712000
1523035597.564162,95.668000
1523035597.622797,95.660000
1523035597.632632,95.632000
1523035597.692730,95.621000
1523035597.702466,95.586000
1523035597.712314,95.569000
1523035597.773036,95.551000
1523035597.782952,95.500000
1523035597.841598,95.487000
1523035597.851866,95.470000
1523035597.911425,95.418000
1523035597.921372,95.420000
1523035597.935077,95.331000
1523035597.991052,95.366000
1523035598.000771,95.323000
1523035598.061196,95.274000
1523035598.070987,95.276000
1523035598.080797,95.239000
1523035598.140977,95.226000
1523035598.150656,95.203000
1523035598.209768,95.143000
1523035598.219432,95.147000
1523035598.229613,95.107000
1523035598.289378,95.083000
1523035598.299206,95.059000
1523035598.359662,95.039000
1523035598.369407,95.035000
1523035598.379231,94.964000
1523035598.439286,94.977000
1523035598.449507,94.954000
1523035598.509431,94.888000
1523035598.519629,94.884000
1523035598.532961,94.836000
1523035598.587778,94.817000
1523035598.597468,94.798000
1523035598.658087,94.762000
1523035598.667834,94.751000
1523035598.677666,94.716000
1523035598.738261,94.701000
1523035598.748123,94.671000
1523035598.807855,94.654000
1523035598.817552,94.632000
1523035598.828074,94.590000
1523035598.887460,94.598000
1523035598.897172,94.559000
1523035598.956422,94.559000
1523035598.966173,94.525000
1523035598.976018,94.469000
1523035599.036106,94.467000
1523035599.045800,94.445000
1523035599.106243,94.404000
1523035599.115924,94.371000
1523035599.126309,94.334000
1523035599.185831,94.329000
1523035599.195585,94.290000
1523035599.256013,94.272000
